file,model,dataset,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
clusters-4-v2.csv,Random Forest Classifier (3),train,0.9166666666666666,0.9298245614035088,0.8754325259515571,0.8888888888888888,0.9724137931034482,0.9166399423368508,0.9075342465753424,0.887719298245614,0.8951048951048951,0.9757785467128027,0.9165342466596635,0.9185441941074524,0.8815331010452961,0.89198606271777,0.9740932642487047,0.9165391555298057,0.9941103854730806,0.9881867298002793,0.9918239958655662,0.9994266399900564,0.9933869377822457
clusters-4-v2.csv,Random Forest Classifier (3),test,0.8541666666666666,0.8026315789473685,0.864406779661017,0.8227848101265823,0.9324324324324325,0.85556390029185,0.8970588235294118,0.68,0.8783783783783784,0.971830985915493,0.8568170469558208,0.8472222222222222,0.7611940298507462,0.8496732026143791,0.9517241379310345,0.8524533981545955,0.9704545454545455,0.9257276995305164,0.9701629199292751,0.9981177386902057,0.9661157259011356
clusters-4-v2.csv,Random Forest Classifier (5),train,0.8914930555555556,0.8854166666666666,0.8385964912280702,0.8719723183391004,0.9689655172413794,0.8912377483688041,0.8732876712328768,0.8385964912280702,0.8811188811188811,0.972318339100346,0.8913303456700435,0.8793103448275862,0.8385964912280702,0.8765217391304347,0.9706390328151986,0.8912669020003225,0.9888300414144632,0.9806754487140573,0.9864984899626932,0.9991018696347737,0.9887764624314967
clusters-4-v2.csv,Random Forest Classifier (5),test,0.8576388888888888,0.8108108108108109,0.8813559322033898,0.8148148148148148,0.9324324324324325,0.859853497565362,0.8823529411764706,0.6933333333333334,0.8918918918918919,0.971830985915493,0.8598522880792971,0.8450704225352113,0.7761194029850746,0.8516129032258064,0.9517241379310345,0.8561317166692818,0.9734625668449197,0.9332707355242567,0.9720889113412478,0.9985071720646459,0.9693323464437675
clusters-4-v2.csv,Neural Network Classifier (5),train,0.8211805555555556,0.8671586715867159,0.7906976744186046,0.7898305084745763,0.8353658536585366,0.8207631770346083,0.8047945205479452,0.7157894736842105,0.8146853146853147,0.9480968858131488,0.8208415486826548,0.8348134991119005,0.7513812154696132,0.802065404475043,0.8881685575364667,0.8191071691482559,0.9707311245619625,0.9314636071146726,0.9480894394289314,0.9884285525265931,0.9596781809080399
clusters-4-v2.csv,Neural Network Classifier (5),test,0.7916666666666666,0.8181818181818182,0.8846153846153846,0.7560975609756098,0.75,0.8022236909432032,0.7941176470588235,0.6133333333333333,0.8378378378378378,0.9295774647887324,0.7937165707546817,0.8059701492537313,0.7244094488188977,0.7948717948717948,0.8301886792452831,0.7888600180474268,0.9769385026737969,0.940907668231612,0.9429780247537257,0.9829947426494451,0.960954734577145
clusters-4-v2.csv,"Neural Network Classifier (5,5)",train,0.8211805555555556,0.8529411764705882,0.7657342657342657,0.8065693430656934,0.85625,0.8203736963176369,0.7945205479452054,0.7684210526315789,0.7727272727272727,0.9480968858131488,0.8209414397793013,0.8226950354609929,0.7670753064798599,0.7892857142857143,0.8998357963875205,0.8197229631535219,0.9648614208346606,0.9296120925150246,0.9465006702304624,0.9907941637564303,0.9579420868341445
clusters-4-v2.csv,"Neural Network Classifier (5,5)",test,0.8055555555555556,0.8181818181818182,0.8307692307692308,0.7866666666666666,0.7926829268292683,0.8070751606117461,0.7941176470588235,0.72,0.7972972972972973,0.9154929577464789,0.80672697552565,0.8059701492537313,0.7714285714285715,0.7919463087248322,0.8496732026143791,0.8047545580053785,0.9614639037433155,0.927699530516432,0.9455986360191968,0.9868241708314403,0.955396560277596
clusters-4-v2.csv,"Neural Network Classifier (5,5,5)",train,0.8394097222222222,0.9121338912133892,0.7816901408450704,0.7597597597597597,0.9256756756756757,0.8448148668734738,0.7465753424657534,0.7789473684210526,0.8846153846153846,0.9480968858131488,0.8395587453288348,0.8210922787193974,0.7803163444639719,0.8174474959612278,0.9367521367521368,0.8389020639741835,0.9639813634915579,0.9384002104453751,0.9510812513121982,0.9954051008993332,0.9622169815371162
clusters-4-v2.csv,"Neural Network Classifier (5,5,5)",test,0.8263888888888888,0.9230769230769231,0.8,0.7311827956989247,0.9041095890410958,0.839592326954236,0.7058823529411765,0.7466666666666667,0.918918918918919,0.9295774647887324,0.8252613508288736,0.8,0.7724137931034483,0.8143712574850299,0.9166666666666666,0.8258629293137861,0.9707887700534759,0.9336463223787168,0.9534604698156101,0.995261893944311,0.9632893640480285
